Register Number,Exam,Course Code,Course Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,CO1,CO2,CO3,CO4,CO5,CO6,CO_Avg,Category
FKAYADAR13,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,5.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,9.0,0.0,4.0,2.25,4.0,3.67,1.0,1.67,2.76,Below Average
FKAYADAR14,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,6.0,6.0,6.0,5.0,6.0,1.0,6.0,0.0,10.0,0.0,5.5,2.0,4.0,1.33,4.0,4.0,3.47,Average
FKAYADAR15,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,0.0,8.0,0.0,4.25,2.0,3.0,1.67,2.67,3.0,2.76,Below Average
FKAYADAR16,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,5.0,3.0,3.0,2.0,2.0,7.0,0.0,3.25,1.75,2.0,1.0,1.67,2.33,2.0,Below Average
FKAYADAR17,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.5,3.75,1.0,1.0,1.0,2.33,1.76,At-risk
FKAYADAR18,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,6.0,5.0,5.0,6.0,0.0,6.0,2.0,6.0,0.0,8.0,2.75,5.0,1.0,4.0,1.67,5.67,3.35,Average
FKAYADAR19,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,3.0,6.0,6.0,0.0,6.0,6.0,3.0,3.0,3.0,8.0,0.0,3.5,2.25,2.0,2.67,2.0,5.0,2.9,Below Average
FKAYADAR20,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,5.0,0.0,6.0,6.0,5.0,0.0,8.0,0.0,4.75,1.25,2.0,2.0,2.67,4.0,2.78,Below Average
FKAYADAR01,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,0.0,0.0,6.0,6.0,5.0,5.0,5.0,0.0,9.0,1.5,5.25,2.0,3.67,2.67,3.33,3.07,Average
FKAYADAR21,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,8.0,0.0,3.5,3.0,3.0,4.0,3.0,4.0,3.42,Average
FKAYADAR22,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,4.0,9.0,0.0,3.75,3.0,4.0,3.0,1.0,5.33,3.35,Average
FKAYADAR23,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,10.0,0.0,5.5,1.5,4.0,1.0,4.0,6.0,3.67,Average
FKAYADAR24,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,10.0,1.5,5.5,4.0,1.0,3.0,6.0,3.5,Average
FKAYADAR25,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,5.0,6.0,5.0,6.0,5.0,6.0,0.0,9.0,0.0,5.25,2.75,3.0,3.33,3.0,1.67,3.17,Average
FKAYADAR26,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,6.0,0.0,6.0,6.0,6.0,5.0,0.0,6.0,0.0,9.0,3.0,5.25,3.0,2.67,1.0,4.0,3.15,Average
FKAYADAR27,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,6.0,5.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,3.0,3.0,0.67,3.67,1.0,5.67,2.83,Below Average
FKAYADAR28,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,0.5,0.67,0.0,1.67,0.67,0.75,At-risk
FKAYADAR29,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,5.0,5.0,4.0,6.0,5.5,0.0,9.0,0.0,5.0,2.0,3.33,3.0,3.83,1.33,3.08,Average
FKAYADAR30,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,7.0,0.0,3.0,2.75,1.0,1.33,1.0,1.33,1.74,At-risk
FKAYADAR02,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.25,0.5,0.0,1.0,0.67,0.0,0.57,At-risk
FKAYADAR31,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,6.0,0.0,4.0,6.0,0.0,3.0,6.0,5.0,9.0,0.0,4.75,3.0,1.0,3.0,3.0,3.67,3.07,Average
FKAYADAR32,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,5.0,4.0,0.0,4.0,6.0,5.0,4.0,8.0,0.0,4.5,0.75,3.0,2.0,2.67,5.0,2.99,Below Average
FKAYADAR33,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,5.0,4.0,6.0,2.0,6.0,4.0,0.0,9.0,0.0,4.75,2.25,2.67,3.67,2.33,3.67,3.22,Average
FKAYADAR34,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,6.0,4.0,5.0,5.0,0.0,5.0,4.0,4.0,8.0,0.0,4.75,2.0,0.0,3.67,3.0,4.67,3.02,Average
FKAYADAR35,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.25,1.25,0.0,0.0,2.0,1.0,0.92,At-risk
FKAYADAR36,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,8.0,0.0,3.5,2.0,0.33,2.67,2.0,2.33,2.14,Below Average
FKAYADAR38,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,0.0,0.0,0.0,0.0,0.33,At-risk
FKAYADAR39,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.0,0.29,At-risk
FKAYADAR40,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,6.0,0.0,5.0,6.0,0.0,5.0,0.0,0.0,4.0,0.0,3.75,3.0,1.0,2.33,1.0,2.0,2.18,Below Average
FKAYADAR41,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,9.0,0.0,5.25,3.0,3.0,4.0,1.0,4.0,3.38,Average
FKAYADAR42,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,6.0,5.0,6.0,4.0,3.0,0.0,6.0,4.0,0.0,6.0,3.0,4.0,2.0,1.0,2.67,5.0,2.94,Below Average
FKAYADAR43,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,8.0,2.75,4.75,2.33,3.67,2.67,3.67,3.31,Average
FKAYADAR44,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,5.0,6.0,5.0,5.0,5.0,3.0,0.0,0.0,9.0,0.0,5.0,2.75,2.67,3.0,1.0,3.67,3.02,Average
FKAYADAR45,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,3.0,6.0,2.0,2.0,3.0,5.0,0.0,3.0,0.0,5.0,0.0,2.5,1.75,3.0,1.67,2.0,2.67,2.26,Below Average
FKAYADAR46,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,10.0,0.0,5.5,3.0,4.0,4.0,0.0,4.0,3.42,Average
FKAYADAR47,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.75,1.0,0.0,1.33,0.67,2.0,1.12,At-risk
FKAYADAR48,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,5.0,6.0,5.0,0.0,0.0,7.0,0.0,3.25,2.75,4.0,1.67,1.0,3.0,2.61,Below Average
